Año;mes;trim;fecha;subclase-desc;subclase-cod;indice2018;indice2022
2022;11;4;nov-22;Servicios de comunicación fija y móvil y provisión a internet;08310400;92,07;1
2022;12;4;dic-22;Servicios de comunicación fija y móvil y provisión a internet;08310400;92,07;1
2023;1;1;ene-23;Servicios de comunicación fija y móvil y provisión a internet;08310400;92,07;1
2023;2;1;feb-23;Servicios de comunicación fija y móvil y provisión a internet;08310400;92,07;1
2023;3;1;mar-23;Servicios de comunicación fija y móvil y provisión a internet;08310400;92,07;1
2007;1;1;ene-07;IPC-total;;61,80;0,490359438
2007;2;1;feb-07;IPC-total;;62,53;0,49615171
2007;3;1;mar-07;IPC-total;;63,29;0,50218202
2007;4;2;abr-07;IPC-total;;63,85;0,506625407
2007;5;2;may-07;IPC-total;;64,05;0,50821233
2007;6;2;jun-07;IPC-total;;64,12;0,508767754
2007;7;3;jul-07;IPC-total;;64,23;0,509640562
2007;8;3;ago-07;IPC-total;;64,14;0,508926446
2007;9;3;sep-07;IPC-total;;64,20;0,509402523
2007;10;4;oct-07;IPC-total;;64,20;0,509402523
2007;11;4;nov-07;IPC-total;;64,51;0,511862255
2007;12;4;dic-07;IPC-total;;64,82;0,514321987
2008;1;1;ene-08;IPC-total;;65,51;0,519796874
2008;2;1;feb-08;IPC-total;;66,50;0,527652146
2008;3;1;mar-08;IPC-total;;67,04;0,53193684
2008;4;2;abr-08;IPC-total;;67,51;0,535666111
2008;5;2;may-08;IPC-total;;68,14;0,540664921
2008;6;2;jun-08;IPC-total;;68,73;0,545346346
2008;7;3;jul-08;IPC-total;;69,06;0,54796477
2008;8;3;ago-08;IPC-total;;69,19;0,548996271
2008;9;3;sep-08;IPC-total;;69,06;0,54796477
2008;10;4;oct-08;IPC-total;;69,30;0,549869079
2008;11;4;nov-08;IPC-total;;69,49;0,551376656
2008;12;4;dic-08;IPC-total;;69,80;0,553836388
2009;1;1;ene-09;IPC-total;;70,21;0,557089582
2009;2;1;feb-09;IPC-total;;70,80;0,561771007
2009;3;1;mar-09;IPC-total;;71,15;0,564548123
2009;4;2;abr-09;IPC-total;;71,38;0,566373086
2009;5;2;may-09;IPC-total;;71,39;0,566452432
2009;6;2;jun-09;IPC-total;;71,35;0,566135047
2009;7;3;jul-09;IPC-total;;71,32;0,565897009
2009;8;3;ago-09;IPC-total;;71,35;0,566135047
2009;9;3;sep-09;IPC-total;;71,28;0,565579624
2009;10;4;oct-09;IPC-total;;71,19;0,564865508
2009;11;4;nov-09;IPC-total;;71,14;0,564468777
2009;12;4;dic-09;IPC-total;;71,20;0,564944854
2010;1;1;ene-10;IPC-total;;71,69;0,568832818
2010;2;1;feb-10;IPC-total;;72,28;0,573514243
2010;3;1;mar-10;IPC-total;;72,46;0,574942474
2010;4;2;abr-10;IPC-total;;72,79;0,577560898
2010;5;2;may-10;IPC-total;;72,87;0,578195668
2010;6;2;jun-10;IPC-total;;72,95;0,578830437
2010;7;3;jul-10;IPC-total;;72,92;0,578592399
2010;8;3;ago-10;IPC-total;;73,00;0,579227168
2010;9;3;sep-10;IPC-total;;72,90;0,578433706
2010;10;4;oct-10;IPC-total;;72,84;0,577957629
2010;11;4;nov-10;IPC-total;;72,98;0,579068476
2010;12;4;dic-10;IPC-total;;73,45;0,582797747
2011;1;1;ene-11;IPC-total;;74,12;0,588113941
2011;2;1;feb-11;IPC-total;;74,57;0,59168452
2011;3;1;mar-11;IPC-total;;74,77;0,593271443
2011;4;2;abr-11;IPC-total;;74,86;0,593985559
2011;5;2;may-11;IPC-total;;75,07;0,595651829
2011;6;2;jun-11;IPC-total;;75,31;0,597556137
2011;7;3;jul-11;IPC-total;;75,42;0,598428945
