Country;Variable;2018A;2019A;2020A;2021A;2022E;2023E;2024E;2025E;2026E;2027E
Peru;Telefonía móvil;39434,13964;37824,24282;37200,01905;41432,09734;43298,18805;45020,87254;46348,1475;47236,77846;47942,73493;48650,6641
Uruguay;Telefonía móvil;5174,567845;4801,993258;4786,987266;4883,170497;4958,843578;5024,874029;5076,654932;5106,12169;5116,209396;5125,768883
Argentina;Suscripciones móviles (4G);25768,89487;31370,27893;37408,21068;45604,74589;50775,44263;54706,78617;57753,72763;59313,88995;60105,04247;61588,60558
Bolivia;Suscripciones móviles (4G);5016,757775;6268,567879;7364,387012;8590,682166;9504,169001;10334,58952;10900,44675;11462,52249;11921,99524;12571,69886
Brazil;Suscripciones móviles (4G);111381,3484;153921,341;172191,9405;201211,669;223866,7793;233094,9239;238778,2024;243149,6204;245368,1482;246227,5285
Chile;Suscripciones móviles (4G);13361,16596;15781,06069;19125,56065;22294,77786;23734,05929;24459,94652;24387,58984;23555,11813;20709,24316;17608,0786
Colombia;Suscripciones móviles (4G);19428,23293;28825,92638;38390,97699;45287,36464;50693,86913;53177,92058;55568,83119;57625,74839;59335,31608;62652,30897
Costa Rica;Suscripciones móviles (4G);1347,038804;2655,600505;3187,879622;4083,205236;4726,187102;5132,281294;5477,585364;5521,579305;5471,364464;5376,725619
Dominican Republic;Suscripciones móviles (4G);1430,042502;1979,583197;2621,03685;3692,51196;4425,781109;5076,743519;5650,99517;6198,069924;6821,086246;6884,61128
Ecuador;Suscripciones móviles (4G);6737,663353;8322,689186;8983,603;9579,13;10621,6819;11292,34033;12161,91079;12155,34642;11403,37031;12043,33213
El Salvador;Suscripciones móviles (4G);1526,606395;2371,295542;2965,870834;3673,653909;4427,968503;5168,223246;5972,497969;6542,606809;7527,967421;8276,402286
Guatemala;Suscripciones móviles (4G);5463,791947;7998,394241;10569,32151;14331,29923;16605,60495;17598,8692;18266,58615;19010,25871;19696,40818;20341,25708
Honduras;Suscripciones móviles (4G);1538,735293;2190,240002;2872,724148;3770,969029;4467,09584;5080,931134;5607,409083;6092,970488;6671,098095;6877,917695
Mexico;Suscripciones móviles (4G);50406,76499;66461,16254;77387,18544;89604,79306;101054,741;108327,5362;110835,4288;107884,215;101149,8046;88507,12646
Nicaragua;Suscripciones móviles (4G);370,930483;383,7537928;578,4783142;850,563887;1177,644939;1549,641428;2041,308692;2401,113826;2971,49326;3671,587107
Panama;Suscripciones móviles (4G);1824,321759;2355,128131;2990,8134;3695,792594;4160,887595;4433,495223;4604,058609;4855,245325;5094,902712;5312,357631
Paraguay;Suscripciones móviles (4G);1709,184772;2624,956918;3495,20285;4220,272863;4780,16483;5305,528557;5612,427646;5846,802318;5906,10636;5501,132623
Peru;Suscripciones móviles (4G);13659,79412;15137,49732;16724,71157;20540,6391;23388,20993;26049,32478;27937,6653;28887,70318;28929,01757;27748,54363
Uruguay;Suscripciones móviles (4G);3147,77509;3559,735942;3953,553273;4618,25059;5257,283057;5810,591717;6364,426608;6838,645948;7367,29474;7809,477828
Argentina;Suscripciones móviles (5G);0;0;0;156,6404655;546,4962003;1465,404484;2736,165769;4873,580668;7557,11527;9406,202586
Bolivia;Suscripciones móviles (5G);0;0;0;0;0;0;197,4369285;348,5708694;565,3480419;583,1989285
Brazil;Suscripciones móviles (5G);0;0;0;1209,533;6775,682971;13798,80429;26840,78549;35751,82517;46958,87289;58603,3734
Chile;Suscripciones móviles (5G);0;0;0;215,338115;1150,905638;2967,644566;5658,523242;9172,986894;12890,77132;16714,63399
Colombia;Suscripciones móviles (5G);0;0;0;0;0;1574,897581;3661,679739;6033,430813;8399,99079;9560,85551
Costa Rica;Suscripciones móviles (5G);0;0;0;0;0;97,99475781;171,4733578;299,6781723;525,1052378;786,5795821
Dominican Republic;Suscripciones móviles (5G);0;0;0;98,2589866;256,4772975;429,4558199;705,7524408;1157,166763;1894,740859;2322,622789
Ecuador;Suscripciones móviles (5G);0;0;0;0;0;206,0484443;565,0054031;1416,668634;2984,592061;3055,632254
El Salvador;Suscripciones móviles (5G);0;0;0;0;0;0;190,5514924;825,2983118;1092,349421;1397,934539
Guatemala;Suscripciones móviles (5G);0;0;0;0;0;0;233,4829526;273,707547;320,8801103;376,2253645
Honduras;Suscripciones móviles (5G);0;0;0;0;0;0;243,9953716;519,7666447;952,8025254;1307,44367
Mexico;Suscripciones móviles (5G);0;0;0;0;2083,854629;4579,752368;11645,08563;25390,37072;44277,96216;66545,03167
Nicaragua;Suscripciones móviles (5G);0;0;0;0;0;0;0;0;0;0
Panama;Suscripciones móviles (5G);0;0;0;0;0;100,4732061;297,5027998;479,747154;616,7303321;727,2718627
Paraguay;Suscripciones móviles (5G);0;0;0;0;0;229,5187784;617,5497241;1209,596965;2078,336946;3144,09147
Peru;Suscripciones móviles (5G);0;0;0;0;108,1934767;653,0631153;2141,712416;4904,496075;8408,532032;12683,59081
Uruguay;Suscripciones móviles (5G);0;0;3,326;31,65640664;194,4647734;495,5778094;911,4248755;1453,560923;1820,664461;2271,866882
Argentina;Internet fijo (Fibra Óptica);1157,975796;1684,129872;2178;2602,841775;2857,147227;3078,03429;3267,911246;3417,281581;3556,191125;3681,228158
Bolivia;Internet fijo (Fibra Óptica);263,089;598,199;773,258;918,6532473;1073,685554;1235,170383;1394,092063;1555,027098;1722,801691;1900,590125
Brazil;Internet fijo (Fibra Óptica);5272,967356;9170;13154,22165;24315,726;29785,53197;35063,27565;39769,8807;44183,70933;48421,43673;52232,07352
